OrderID,Date,Product,Category,Region,Salesperson,Quantity,UnitPrice,Discount,Revenue,Cost,Profit
ORD-44206,2023-01-23,Office Chair Ergo,Furniture,East,Priya Sharma,14,14756.12,0.2,165268.54,82289.01,82979.53
ORD-34928,2023-01-23,Office Chair Ergo,Furniture,East,Rahul Nair,10,8318.12,0.1,74863.08,34826.18,40036.9
ORD-32965,2023-01-24,Desk Lamp LED,Furniture,West,Divya Menon,6,1795.1,0.15,9155.01,6121.61,3033.4
ORD-58535,2023-01-24,Monitor 27inch,Electronics,South,Rahul Nair,19,24254.95,0.15,391717.44,185181.13,206536.31
ORD-12815,2023-01-24,Mechanical Keyboard,Electronics,West,Rahul Nair,16,4040.1,0.05,61409.52,38959.88,22449.64
ORD-30691,2023-01-24,Standing Desk,Furniture,East,Karthik Raj,13,26439.28,0.0,343710.64,229636.73,114073.91
ORD-27388,2023-01-24,Notebook Pack,Stationery,East,Priya Sharma,7,259.53,0.05,1725.87,876.79,849.08
ORD-77237,2023-01-24,Wireless Headphones,Electronics,West,Vikram Das,10,3527.98,0.0,35279.8,23488.27,11791.53
ORD-19350,2023-01-25,Laptop Pro X1,Electronics,North,Karthik Raj,4,92248.06,0.2,295193.79,190109.81,105083.98
ORD-38177,2023-01-25,Monitor 27inch,Electronics,West,Vikram Das,11,23580.68,0.15,220479.36,110209.48,110269.88
ORD-83821,2023-01-25,Mechanical Keyboard,Electronics,South,Divya Menon,15,5431.06,0.15,69246.01,31924.54,37321.47
ORD-11617,2023-01-27,Wireless Headphones,Electronics,East,Priya Sharma,20,3995.11,0.0,79902.2,53209.24,26692.96
ORD-91465,2023-01-27,Desk Lamp LED,Furniture,East,Karthik Raj,19,1481.51,0.0,28148.69,15066.19,13082.5
ORD-20417,2023-01-27,Desk Lamp LED,Furniture,East,Divya Menon,20,1501.84,0.15,25531.28,11655.57,13875.71
ORD-16094,2023-01-27,Monitor 27inch,Electronics,North,Meera Iyer,2,25349.51,0.0,50699.02,34393.92,16305.1
ORD-20324,2023-01-27,Notebook Pack,Stationery,North,Rahul Nair,1,385.43,0.1,346.89,235.94,110.95
ORD-86787,2023-01-28,Laptop Pro X1,Electronics,North,Priya Sharma,11,90772.34,0.15,848721.38,553360.43,295360.95
ORD-50516,2023-01-29,Standing Desk,Furniture,East,Rahul Nair,18,19277.57,0.0,346996.26,207947.12,139049.14
ORD-36626,2023-01-29,Desk Lamp LED,Furniture,North,Divya Menon,1,1834.88,0.2,1467.9,670.01,797.89
ORD-14850,2023-01-29,Standing Desk,Furniture,East,Meera Iyer,16,24717.9,0.05,375712.08,208709.86,167002.22
ORD-77740,2023-01-29,Standing Desk,Furniture,East,Rahul Nair,19,18144.8,0.0,344751.2,217291.46,127459.74
ORD-45705,2023-01-30,Laptop Pro X1,Electronics,East,Sneha Pillai,16,101351.77,0.2,1297302.66,759111.51,538191.15
ORD-10760,2023-01-30,Wireless Headphones,Electronics,West,Meera Iyer,15,4070.89,0.0,61063.35,36549.53,24513.82
ORD-60072,2023-01-30,Notebook Pack,Stationery,North,Sneha Pillai,15,432.74,0.0,6491.1,3645.86,2845.24
ORD-63578,2023-01-30,Desk Lamp LED,Furniture,South,Rahul Nair,20,2005.9,0.0,40118.0,24066.47,16051.53
ORD-21507,2023-01-31,USB Hub 7-Port,Electronics,East,Divya Menon,5,1039.25,0.05,4936.44,3032.12,1904.32
ORD-66904,2023-01-31,USB Hub 7-Port,Electronics,South,Vikram Das,19,1334.17,0.1,22814.31,14125.22,8689.09
ORD-92251,2023-01-31,Monitor 27inch,Electronics,West,Karthik Raj,17,18638.72,0.15,269329.5,186850.75,82478.75
ORD-52517,2023-02-01,Wireless Headphones,Electronics,South,Vikram Das,14,3634.11,0.0,50877.54,27601.74,23275.8
ORD-82264,2023-02-01,Standing Desk,Furniture,East,Meera Iyer,20,23353.24,0.2,373651.84,212475.46,161176.38
ORD-11105,2023-02-01,Pen Set Premium,Stationery,North,Sneha Pillai,13,356.87,0.0,4639.31,2536.25,2103.06
ORD-80736,2023-02-01,Desk Lamp LED,Furniture,West,Divya Menon,2,1917.07,0.1,3450.73,2324.05,1126.68
ORD-65097,2023-02-02,Mechanical Keyboard,Electronics,West,Rahul Nair,5,5297.48,0.15,22514.29,13766.82,8747.47
ORD-69545,2023-02-02,Desk Lamp LED,Furniture,South,Rahul Nair,1,1715.31,0.05,1629.54,1010.28,619.26
ORD-32463,2023-02-02,Wireless Headphones,Electronics,West,Vikram Das,13,3881.75,0.0,50462.75,30741.25,19721.5
ORD-40544,2023-02-02,Desk Lamp LED,Furniture,West,Arjun Kumar,6,1458.7,0.05,8314.59,4331.52,3983.07
ORD-91927,2023-02-03,Standing Desk,Furniture,East,Karthik Raj,15,18854.16,0.0,282812.4,192588.95,90223.45
ORD-41056,2023-02-03,Pen Set Premium,Stationery,East,Sneha Pillai,3,259.77,0.0,779.31,501.8,277.51
ORD-64125,2023-02-03,Monitor 27inch,Electronics,North,Rahul Nair,20,27339.42,0.0,546788.4,360554.21,186234.19
ORD-49514,2023-02-04,Notebook Pack,Stationery,East,Priya Sharma,5,218.6,0.2,874.4,490.08,384.32
ORD-94919,2023-02-04,Monitor 27inch,Electronics,North,Sneha Pillai,1,19587.5,0.05,18608.12,9930.75,8677.37
ORD-33021,2023-02-04,Desk Lamp LED,Furniture,East,Rahul Nair,3,2382.52,0.0,7147.56,4552.07,2595.49
ORD-88562,2023-02-04,Laptop Pro X1,Electronics,North,Arjun Kumar,20,107981.19,0.2,1727699.04,871116.53,856582.51
ORD-26827,2023-02-05,Monitor 27inch,Electronics,East,Meera Iyer,7,24137.17,0.0,168960.19,76466.9,92493.29
ORD-22903,2023-02-06,Desk Lamp LED,Furniture,North,Divya Menon,10,2496.65,0.15,21221.52,10029.18,11192.34
ORD-53451,2023-02-06,Wireless Headphones,Electronics,North,Priya Sharma,1,2521.67,0.2,2017.34,1346.3,671.04
ORD-16765,2023-02-06,Desk Lamp LED,Furniture,East,Karthik Raj,2,2018.09,0.1,3632.56,1788.2,1844.36
ORD-40147,2023-02-06,Laptop Pro X1,Electronics,North,Vikram Das,16,86479.98,0.0,1383679.68,726939.1,656740.58
ORD-21016,2023-02-06,Desk Lamp LED,Furniture,North,Sneha Pillai,2,1890.65,0.05,3592.24,1839.79,1752.45
ORD-49888,2023-02-07,Office Chair Ergo,Furniture,North,Karthik Raj,14,10814.02,0.15,128686.84,80454.7,48232.14
ORD-77449,2023-02-07,Pen Set Premium,Stationery,North,Sneha Pillai,9,230.82,0.2,1661.9,915.78,746.12
ORD-74058,2023-02-07,Monitor 27inch,Electronics,West,Arjun Kumar,9,24903.97,0.2,179308.58,105900.07,73408.51
ORD-39837,2023-02-08,Wireless Headphones,Electronics,North,Arjun Kumar,6,4485.54,0.1,24221.92,11326.42,12895.5
ORD-74738,2023-02-08,Laptop Pro X1,Electronics,East,Priya Sharma,11,94959.66,0.15,887872.82,520138.2,367734.62
ORD-56538,2023-02-08,Mechanical Keyboard,Electronics,North,Karthik Raj,8,3613.92,0.0,28911.36,14520.28,14391.08
ORD-99694,2023-02-10,Standing Desk,Furniture,East,Sneha Pillai,16,22720.8,0.0,363532.8,165259.49,198273.31
ORD-81253,2023-02-10,Pen Set Premium,Stationery,West,Karthik Raj,18,324.26,0.0,5836.68,3453.42,2383.26
ORD-85392,2023-02-10,Notebook Pack,Stationery,East,Karthik Raj,1,227.4,0.15,193.29,127.38,65.91
ORD-44406,2023-02-10,Monitor 27inch,Electronics,West,Meera Iyer,14,25874.24,0.0,362239.36,176227.98,186011.38
ORD-73195,2023-02-10,Mechanical Keyboard,Electronics,East,Vikram Das,4,5060.42,0.2,16193.34,7598.0,8595.34
ORD-75099,2023-02-10,Notebook Pack,Stationery,North,Priya Sharma,3,475.44,0.1,1283.69,822.0,461.69
ORD-57498,2023-02-10,Office Chair Ergo,Furniture,West,Meera Iyer,13,11338.16,0.2,117916.86,53650.82,64266.04
ORD-96540,2023-02-11,Standing Desk,Furniture,East,Priya Sharma,2,23860.4,0.0,47720.8,26608.2,21112.6
ORD-48091,2023-02-11,Notebook Pack,Stationery,East,Vikram Das,6,306.4,0.2,1470.72,799.21,671.51
ORD-65057,2023-02-12,Monitor 27inch,Electronics,West,Sneha Pillai,3,23059.61,0.0,69178.83,31349.29,37829.54
ORD-49021,2023-02-12,Pen Set Premium,Stationery,South,Vikram Das,4,334.0,0.15,1135.6,724.33,411.27
ORD-47328,2023-02-12,Standing Desk,Furniture,West,Karthik Raj,19,28555.0,0.0,542545.0,257636.52,284908.48
ORD-69050,2023-02-12,Pen Set Premium,Stationery,South,Sneha Pillai,20,268.91,0.0,5378.2,3707.9,1670.3
ORD-62853,2023-02-13,Monitor 27inch,Electronics,West,Meera Iyer,15,21243.68,0.2,254924.16,168663.03,86261.13
ORD-35122,2023-02-13,Office Chair Ergo,Furniture,West,Divya Menon,12,10379.52,0.15,105871.1,52590.29,53280.81
ORD-63188,2023-02-13,Pen Set Premium,Stationery,West,Divya Menon,13,181.26,0.15,2002.92,1078.04,924.88
ORD-19287,2023-02-14,Wireless Headphones,Electronics,North,Rahul Nair,6,4463.73,0.05,25443.26,14724.67,10718.59
ORD-29936,2023-02-14,Monitor 27inch,Electronics,West,Vikram Das,13,27884.14,0.2,289995.06,190000.96,99994.1
ORD-11231,2023-02-14,Office Chair Ergo,Furniture,South,Priya Sharma,9,8998.45,0.15,68838.14,41296.64,27541.5
ORD-29876,2023-02-15,Mechanical Keyboard,Electronics,North,Rahul Nair,7,4255.13,0.0,29785.91,16513.23,13272.68
ORD-54759,2023-02-15,Desk Lamp LED,Furniture,North,Arjun Kumar,9,2351.53,0.05,20105.58,10783.39,9322.19
ORD-92076,2023-02-15,Office Chair Ergo,Furniture,South,Divya Menon,20,12679.73,0.05,240914.87,149391.05,91523.82
ORD-38358,2023-02-15,Pen Set Premium,Stationery,East,Rahul Nair,1,381.56,0.05,362.48,237.16,125.32
ORD-27675,2023-02-15,Monitor 27inch,Electronics,East,Rahul Nair,15,27808.19,0.05,396266.71,240903.99,155362.72
ORD-77568,2023-02-16,Laptop Pro X1,Electronics,South,Sneha Pillai,16,103176.64,0.0,1650826.24,993079.5,657746.74
ORD-71875,2023-02-16,Notebook Pack,Stationery,East,Priya Sharma,18,498.24,0.0,8968.32,6246.74,2721.58
ORD-22308,2023-02-16,Laptop Pro X1,Electronics,East,Divya Menon,17,102610.13,0.2,1395497.77,679113.04,716384.73
ORD-51599,2023-02-16,Pen Set Premium,Stationery,North,Sneha Pillai,14,195.13,0.0,2731.82,1816.42,915.4
ORD-93320,2023-02-16,Standing Desk,Furniture,East,Priya Sharma,8,28397.8,0.05,215823.28,112118.77,103704.51
ORD-95439,2023-02-17,Wireless Headphones,Electronics,West,Rahul Nair,7,3191.37,0.0,22339.59,13261.76,9077.83
ORD-95944,2023-02-17,Pen Set Premium,Stationery,East,Vikram Das,5,194.74,0.2,778.96,357.42,421.54
ORD-60678,2023-02-18,Monitor 27inch,Electronics,East,Priya Sharma,12,22369.51,0.05,255012.41,162143.76,92868.65
ORD-46096,2023-02-18,Office Chair Ergo,Furniture,West,Karthik Raj,17,8301.01,0.2,112893.74,53469.76,59423.98
ORD-71348,2023-02-18,Wireless Headphones,Electronics,South,Rahul Nair,14,3991.02,0.05,53080.57,28950.4,24130.17
ORD-80165,2023-02-18,Office Chair Ergo,Furniture,East,Karthik Raj,15,14693.5,0.1,198362.25,135091.22,63271.03
ORD-42943,2023-02-18,Notebook Pack,Stationery,West,Vikram Das,11,489.75,0.0,5387.25,2441.72,2945.53
ORD-47453,2023-02-19,Laptop Pro X1,Electronics,East,Meera Iyer,20,115881.88,0.15,1969991.96,1217711.43,752280.53
ORD-89499,2023-02-19,Wireless Headphones,Electronics,West,Arjun Kumar,20,4120.71,0.0,82414.2,43123.94,39290.26
ORD-69836,2023-02-19,Laptop Pro X1,Electronics,North,Meera Iyer,1,89348.3,0.2,71478.64,34988.5,36490.14
ORD-79688,2023-02-19,Office Chair Ergo,Furniture,East,Vikram Das,6,10416.21,0.15,53122.67,32907.0,20215.67
ORD-46605,2023-02-19,Pen Set Premium,Stationery,South,Rahul Nair,8,365.42,0.2,2338.69,1267.1,1071.59
ORD-85771,2023-02-20,Office Chair Ergo,Furniture,South,Arjun Kumar,12,8257.05,0.2,79267.68,36313.16,42954.52
ORD-30904,2023-02-21,Laptop Pro X1,Electronics,East,Arjun Kumar,10,100577.12,0.15,854905.52,506127.77,348777.75
ORD-23937,2023-02-21,Mechanical Keyboard,Electronics,North,Meera Iyer,20,3512.07,0.1,63217.26,29458.57,33758.69
ORD-73201,2023-02-22,Mechanical Keyboard,Electronics,East,Sneha Pillai,4,4733.76,0.0,18935.04,9253.22,9681.82
ORD-58380,2023-02-22,Standing Desk,Furniture,South,Priya Sharma,1,25783.75,0.15,21916.19,13177.98,8738.21
ORD-60666,2023-02-22,Standing Desk,Furniture,South,Priya Sharma,10,22488.43,0.0,224884.3,127345.76,97538.54
ORD-25083,2023-02-23,Standing Desk,Furniture,South,Divya Menon,16,24103.46,0.1,347089.82,189602.04,157487.78
ORD-87353,2023-02-24,Laptop Pro X1,Electronics,East,Priya Sharma,10,115298.79,0.0,1152987.9,643285.24,509702.66
ORD-83985,2023-02-24,Wireless Headphones,Electronics,East,Meera Iyer,1,4014.21,0.0,4014.21,2315.6,1698.61
ORD-53970,2023-02-25,Monitor 27inch,Electronics,West,Divya Menon,9,19084.01,0.0,171756.09,92864.29,78891.8
ORD-52026,2023-02-25,Laptop Pro X1,Electronics,South,Meera Iyer,16,115429.55,0.0,1846872.8,1178041.67,668831.13
ORD-22568,2023-02-25,Laptop Pro X1,Electronics,North,Karthik Raj,4,104197.17,0.0,416788.68,200831.93,215956.75
ORD-63714,2023-02-25,Mechanical Keyboard,Electronics,West,Divya Menon,11,4908.8,0.0,53996.8,28463.21,25533.59
ORD-64005,2023-02-26,Mechanical Keyboard,Electronics,South,Karthik Raj,13,5997.84,0.0,77971.92,41713.83,36258.09
ORD-13574,2023-02-26,USB Hub 7-Port,Electronics,South,Sneha Pillai,13,1078.48,0.1,12618.22,5957.0,6661.22
ORD-57026,2023-02-27,Standing Desk,Furniture,West,Sneha Pillai,6,20113.2,0.1,108611.28,57509.79,51101.49
ORD-40495,2023-02-27,USB Hub 7-Port,Electronics,North,Arjun Kumar,8,1135.09,0.0,9080.72,4583.5,4497.22
ORD-79951,2023-03-01,Pen Set Premium,Stationery,East,Divya Menon,6,175.03,0.15,892.65,455.51,437.14
ORD-97304,2023-03-01,Standing Desk,Furniture,North,Vikram Das,4,23440.46,0.1,84385.66,39134.45,45251.21
ORD-83646,2023-03-02,Pen Set Premium,Stationery,South,Divya Menon,1,231.8,0.2,185.44,112.22,73.22
ORD-48356,2023-03-02,Desk Lamp LED,Furniture,East,Karthik Raj,20,1900.4,0.0,38008.0,26406.06,11601.94
ORD-51515,2023-03-03,Laptop Pro X1,Electronics,East,Rahul Nair,18,112701.32,0.0,2028623.76,1160293.11,868330.65
ORD-80471,2023-03-03,Notebook Pack,Stationery,East,Vikram Das,14,410.54,0.0,5747.56,3506.78,2240.78
ORD-40821,2023-03-03,Monitor 27inch,Electronics,North,Priya Sharma,11,25060.24,0.1,248096.38,129588.3,118508.08
ORD-46612,2023-03-04,Laptop Pro X1,Electronics,West,Karthik Raj,7,99469.15,0.0,696284.05,337819.24,358464.81
ORD-17455,2023-03-04,Monitor 27inch,Electronics,North,Arjun Kumar,19,22767.89,0.2,346071.93,201684.33,144387.6
ORD-32599,2023-03-04,Desk Lamp LED,Furniture,South,Karthik Raj,12,2002.82,0.2,19227.07,9409.16,9817.91
ORD-19225,2023-03-04,Monitor 27inch,Electronics,West,Sneha Pillai,2,26236.43,0.0,52472.86,30552.6,21920.26
ORD-85456,2023-03-05,Standing Desk,Furniture,West,Vikram Das,19,29352.74,0.0,557702.06,370416.23,187285.83
ORD-21015,2023-03-05,Standing Desk,Furniture,South,Divya Menon,13,22466.88,0.15,248259.02,169906.92,78352.1
ORD-51365,2023-03-06,Pen Set Premium,Stationery,North,Karthik Raj,7,160.95,0.0,1126.65,756.49,370.16
ORD-39215,2023-03-06,Pen Set Premium,Stationery,West,Meera Iyer,20,292.97,0.0,5859.4,3859.59,1999.81
ORD-67741,2023-03-07,Standing Desk,Furniture,South,Divya Menon,11,25896.15,0.05,270614.77,123488.94,147125.83
ORD-40938,2023-03-07,Notebook Pack,Stationery,East,Priya Sharma,13,482.95,0.15,5336.6,3525.83,1810.77
ORD-10697,2023-03-07,USB Hub 7-Port,Electronics,North,Divya Menon,4,926.46,0.1,3335.26,2080.55,1254.71
ORD-65666,2023-03-08,Monitor 27inch,Electronics,South,Sneha Pillai,7,23949.61,0.05,159264.91,76557.14,82707.77
ORD-99694,2023-03-08,Notebook Pack,Stationery,North,Rahul Nair,11,311.11,0.0,3422.21,2311.29,1110.92
ORD-31753,2023-03-09,Office Chair Ergo,Furniture,East,Arjun Kumar,11,14885.33,0.15,139177.84,81219.77,57958.07
ORD-89679,2023-03-09,Notebook Pack,Stationery,East,Divya Menon,17,265.24,0.1,4058.17,2108.27,1949.9
ORD-60465,2023-03-10,Wireless Headphones,Electronics,West,Karthik Raj,5,2726.12,0.0,13630.6,6753.53,6877.07
ORD-28025,2023-03-10,Wireless Headphones,Electronics,North,Karthik Raj,12,3686.56,0.1,39814.85,27066.88,12747.97
ORD-61775,2023-03-10,Notebook Pack,Stationery,South,Arjun Kumar,10,338.23,0.2,2705.84,1549.06,1156.78
ORD-88323,2023-03-10,Mechanical Keyboard,Electronics,West,Priya Sharma,14,5834.62,0.15,69431.98,38239.68,31192.3
ORD-51771,2023-03-11,USB Hub 7-Port,Electronics,North,Rahul Nair,11,1387.67,0.0,15264.37,9643.57,5620.8
ORD-80402,2023-03-11,Wireless Headphones,Electronics,North,Divya Menon,7,4910.66,0.0,34374.62,23217.14,11157.48
ORD-57474,2023-03-11,Monitor 27inch,Electronics,East,Meera Iyer,7,19841.4,0.05,131945.31,66885.79,65059.52
ORD-23277,2023-03-11,Monitor 27inch,Electronics,East,Divya Menon,10,27219.85,0.0,272198.5,123241.69,148956.81
ORD-88116,2023-03-12,USB Hub 7-Port,Electronics,South,Divya Menon,8,1029.99,0.0,8239.92,5332.55,2907.37
ORD-90173,2023-03-12,Standing Desk,Furniture,East,Karthik Raj,6,23258.21,0.1,125594.33,78607.6,46986.73
ORD-36302,2023-03-12,Pen Set Premium,Stationery,East,Karthik Raj,11,171.6,0.05,1793.22,810.52,982.7
ORD-84199,2023-03-12,Monitor 27inch,Electronics,South,Meera Iyer,15,23997.62,0.0,359964.3,238657.11,121307.19
ORD-30314,2023-03-13,Pen Set Premium,Stationery,West,Arjun Kumar,17,254.09,0.2,3455.62,1897.13,1558.49
ORD-99753,2023-03-13,Standing Desk,Furniture,East,Rahul Nair,5,24565.48,0.0,122827.4,57013.81,65813.59
ORD-38522,2023-03-13,Desk Lamp LED,Furniture,North,Vikram Das,11,1842.58,0.15,17228.12,8017.46,9210.66
ORD-61546,2023-03-13,Wireless Headphones,Electronics,East,Sneha Pillai,13,4954.86,0.0,64413.18,35975.92,28437.26
ORD-33506,2023-03-14,Desk Lamp LED,Furniture,North,Vikram Das,6,2152.32,0.0,12913.92,8974.47,3939.45
ORD-43619,2023-03-14,Wireless Headphones,Electronics,North,Rahul Nair,16,2666.25,0.1,38394.0,20419.64,17974.36
ORD-93886,2023-03-15,Desk Lamp LED,Furniture,South,Divya Menon,6,1800.94,0.0,10805.64,7535.65,3269.99
ORD-27157,2023-03-15,USB Hub 7-Port,Electronics,East,Karthik Raj,7,1290.78,0.1,8131.91,4459.89,3672.02
ORD-67560,2023-03-15,Laptop Pro X1,Electronics,South,Karthik Raj,20,111213.52,0.1,2001843.36,1361850.3,639993.06
ORD-42847,2023-03-16,Pen Set Premium,Stationery,West,Sneha Pillai,13,363.94,0.05,4494.66,2065.04,2429.62
